group,n_nodes,run,failure_wave,failure_time,n_leaders_failed,n_orphans,qi_pre_failure,sr_pre_failure,qi_at_impact,sr_at_impact,qi_3cycles_after,sr_3cycles_after,actions_recluster_at_impact,actions_reallocate_at_impact,qi_recovery_delta
200_with_failures,200,1,1,300,4,62,0.993874,0.995,0.799185,0.678571,0.994167,0.994898,0,62,0.194982
200_with_failures,200,1,2,450,4,79,0.994192,0.994898,0.744701,0.583333,0.992472,0.994792,4,70,0.247771
200_with_failures,200,1,3,600,4,92,0.992627,0.994792,0.711826,0.505319,0.991927,0.994681,6,83,0.280101
200_with_failures,200,2,1,300,4,64,0.995544,1.0,0.792419,0.673469,0.994857,1.0,63,1,0.202438
200_with_failures,200,2,2,450,3,69,0.99485,1.0,0.800026,0.642487,0.994834,1.0,64,1,0.194808
200_with_failures,200,2,3,600,4,98,0.994353,1.0,0.720663,0.481481,0.994192,1.0,91,3,0.273529
200_with_failures,200,3,1,300,4,36,0.996253,1.0,0.845486,0.816327,0.994437,1.0,36,0,0.148951
200_with_failures,200,3,2,450,4,80,0.994436,1.0,0.773218,0.583333,0.993241,1.0,74,1,0.220023
200_with_failures,200,3,3,600,4,50,0.992545,1.0,0.813674,0.734043,0.99146,1.0,49,0,0.177786
200_with_failures,200,4,1,300,4,63,0.991612,0.99,0.795674,0.668367,0.990719,0.989796,58,1,0.195045
200_with_failures,200,4,2,450,4,35,0.990101,0.989796,0.835935,0.807292,0.990391,0.989583,34,0,0.154456
200_with_failures,200,4,3,600,5,60,0.990388,0.989583,0.768718,0.668449,0.98911,0.989305,57,2,0.220392
200_with_failures,200,5,1,300,4,52,0.994447,0.995,0.809058,0.729592,0.993077,0.994898,52,0,0.184019
200_with_failures,200,5,2,450,3,63,0.993075,0.994898,0.806338,0.668394,0.991907,0.994819,63,0,0.185569
200_with_failures,200,5,3,600,3,55,0.992177,0.994819,0.811048,0.705263,0.991197,0.994737,55,0,0.180149
200_with_failures,200,6,1,300,4,52,0.990994,0.985,0.819445,0.719388,0.994443,1.0,52,0,0.174998
200_with_failures,200,6,2,450,4,93,0.99446,1.0,0.748849,0.515625,0.993409,1.0,93,0,0.24456
200_with_failures,200,6,3,600,3,38,0.993672,1.0,0.853055,0.798942,0.992308,1.0,37,0,0.139253
200_with_failures,200,7,1,300,4,74,0.99635,1.0,0.795719,0.622449,0.994975,1.0,74,0,0.199256
200_with_failures,200,7,2,450,3,74,0.994974,1.0,0.808894,0.61658,0.994427,1.0,74,0,0.185533
200_with_failures,200,7,3,600,3,84,0.994425,1.0,0.788096,0.557895,0.99421,1.0,84,0,0.206114
200_with_failures,200,8,1,300,4,108,0.993593,0.995,0.736796,0.443878,0.992868,0.994898,108,0,0.256072
200_with_failures,200,8,2,450,3,35,0.992151,0.994898,0.865571,0.813472,0.991122,0.994819,35,0,0.125551
200_with_failures,200,8,3,600,3,76,0.991131,0.994819,0.796399,0.594737,0.991841,0.994737,74,1,0.195442
200_with_failures,200,9,1,300,4,56,0.990379,0.985,0.827535,0.69898,0.989386,0.984694,56,0,0.161851
200_with_failures,200,9,2,450,4,44,0.989391,0.984694,0.840953,0.755208,0.989196,0.984375,42,1,0.148243
200_with_failures,200,9,3,600,4,81,0.989196,0.984375,0.77342,0.553191,0.988813,0.984043,81,0,0.215393
200_with_failures,200,10,1,300,4,45,0.977234,0.94,0.79662,0.709184,0.97589,0.938776,45,0,0.17927
200_with_failures,200,10,2,450,3,28,0.975891,0.938776,0.838305,0.792746,0.973801,0.937824,28,0,0.135496
200_with_failures,200,10,3,600,3,25,0.974631,0.937824,0.841255,0.805263,0.991476,0.994737,24,0,0.150221
200_with_failures,200,11,1,300,4,39,0.993411,0.995,0.828566,0.795918,0.992292,0.994898,39,0,0.163726
200_with_failures,200,11,2,450,4,63,0.990777,0.994898,0.788404,0.666667,0.99151,0.994792,62,0,0.203106
200_with_failures,200,11,3,600,3,44,0.991513,0.994792,0.838385,0.761905,0.991257,0.994709,44,0,0.152872
200_with_failures,200,12,1,300,4,71,0.995192,1.0,0.76171,0.637755,0.994438,1.0,71,0,0.232728
200_with_failures,200,12,2,450,3,79,0.994439,1.0,0.765034,0.590674,0.993993,1.0,78,0,0.228959
200_with_failures,200,12,3,600,3,65,0.993986,1.0,0.785111,0.657895,0.99394,1.0,65,0,0.208829
200_with_failures,200,13,1,300,4,47,0.995562,1.0,0.846513,0.760204,0.994693,1.0,47,0,0.14818
200_with_failures,200,13,2,450,4,68,0.99471,1.0,0.804194,0.645833,0.99385,1.0,67,0,0.189656
200_with_failures,200,13,3,600,3,46,0.99389,1.0,0.852533,0.756614,0.993478,1.0,46,0,0.140945
200_with_failures,200,14,1,300,4,65,0.989949,0.985,0.790465,0.653061,0.989223,0.984694,65,0,0.198758
200_with_failures,200,14,2,450,4,64,0.989226,0.984694,0.784155,0.651042,0.98868,0.984375,63,0,0.204525
200_with_failures,200,14,3,600,4,33,0.988678,0.984375,0.830492,0.808511,0.991365,0.994681,30,3,0.160873
200_with_failures,200,15,1,300,4,22,0.99563,1.0,0.861789,0.887755,0.994511,1.0,21,0,0.132722
