group,n_nodes,run,q_donothing,q_reallocate,q_recluster,dominant_action,net_learning,epsilon,s1_count,s2_count
200_with_failures,200,1,20.7407,31.419,29.9419,reallocate,0.977006,0.12881,69,175
200_with_failures,200,2,26.94,32.8428,33.1079,recluster,0.969066,0.107295,133,354
200_with_failures,200,3,27.9393,33.1443,33.3035,recluster,0.979033,0.089374,169,492
200_with_failures,200,4,28.2157,33.2508,33.2873,recluster,0.970643,0.074446,173,652
200_with_failures,200,5,28.2157,33.2508,33.3318,recluster,0.971784,0.067945,343,652
200_with_failures,200,6,28.2308,33.2632,33.3103,recluster,0.966645,0.060151,488,691
200_with_failures,200,7,28.2308,33.2632,33.3331,recluster,0.95247,0.054898,720,691
200_with_failures,200,8,28.2513,33.2489,33.3333,recluster,0.96415,0.048601,863,768
200_with_failures,200,9,28.2677,33.2793,33.3333,recluster,0.961189,0.043026,919,894
200_with_failures,200,10,28.278,33.2875,33.319,recluster,0.951798,0.038091,993,919
200_with_failures,200,11,28.2883,33.2963,33.3326,recluster,0.972904,0.033721,1032,1027
200_with_failures,200,12,28.2973,33.3037,33.3333,recluster,0.973103,0.029853,1103,1172
200_with_failures,200,13,28.3045,33.3097,33.3333,recluster,0.969174,0.026429,1150,1287
200_with_failures,200,14,28.3102,33.1452,33.2488,recluster,0.972868,0.022695,1215,1387
200_with_failures,200,15,28.3045,33.0694,33.3033,recluster,0.968812,0.020092,1216,1527
200_with_failures,200,16,28.3045,33.0694,33.3329,recluster,0.971298,0.02,1358,1600
200_with_failures,200,17,28.3045,33.0518,33.2697,recluster,0.952761,0.02,1446,1620
200_with_failures,200,18,28.3045,33.0495,33.3316,recluster,0.959126,0.02,1596,1650
200_with_failures,200,19,28.3045,33.0495,33.3332,recluster,0.977823,0.02,1677,1716
200_with_failures,200,20,28.3045,33.0495,33.3333,recluster,0.958264,0.02,1755,1861
200_with_failures,200,21,28.3045,33.0495,46.5512,recluster,0.959007,0.02,1896,1907
200_with_failures,200,22,28.3045,33.0495,46.5512,recluster,0.954394,0.02,2105,1907
200_with_failures,200,23,28.3045,33.0495,46.5512,recluster,0.969714,0.02,2250,1961
200_with_failures,200,24,28.3045,33.0495,46.5512,recluster,0.977221,0.02,2410,2010
200_with_failures,200,25,28.3045,33.0495,46.5454,recluster,0.955027,0.02,2515,2093
200_with_failures,200,26,28.3045,33.0263,46.498,recluster,0.971213,0.02,2588,2196
200_with_failures,200,27,28.3045,33.0263,46.5495,recluster,0.979182,0.02,2588,2368
200_with_failures,200,28,28.3045,33.0263,49.8954,recluster,0.963386,0.02,2702,2471
200_with_failures,200,29,28.3045,33.0263,49.8954,recluster,0.963128,0.02,2758,2595
200_with_failures,200,30,28.3045,33.0088,49.8757,recluster,0.96794,0.02,2904,2638
200_with_failures,200,31,28.3045,33.0088,49.8946,recluster,0.963185,0.02,3004,2697
200_with_failures,200,32,28.3045,33.0088,49.8911,recluster,0.95999,0.02,3114,2779
200_with_failures,200,33,28.3045,33.0735,49.8952,recluster,0.959817,0.02,3173,2878
200_with_failures,200,34,28.3045,33.0735,53.2374,recluster,0.978445,0.02,3257,2997
200_with_failures,200,35,28.3045,33.0221,53.2239,recluster,0.978142,0.02,3310,3145
250_with_failures,250,1,21.6582,30.9865,29.1597,reallocate,0.753568,0.12881,82,179
250_with_failures,250,2,24.8988,31.7317,33.3075,recluster,0.96153,0.114035,251,248
250_with_failures,250,3,27.6011,32.8385,33.2682,recluster,0.974465,0.097926,328,459
250_with_failures,250,4,27.7473,33.0163,33.3323,recluster,0.982518,0.086693,481,516
250_with_failures,250,5,27.7473,33.0163,33.3328,recluster,0.97159,0.079122,773,516
250_with_failures,250,6,27.7473,33.0797,33.3333,recluster,0.977552,0.072213,1022,516
250_with_failures,250,7,27.8645,33.171,33.3333,recluster,0.988589,0.06393,1149,597
250_with_failures,250,8,27.9583,33.1526,33.3333,recluster,0.976801,0.056596,1223,704
250_with_failures,250,9,27.9583,33.1823,33.3303,recluster,0.968538,0.050104,1405,704
250_with_failures,250,10,28.1411,33.2242,33.2912,recluster,0.98154,0.041736,1405,878
250_with_failures,250,11,28.2344,33.2136,33.3329,recluster,0.971691,0.03584,1481,1034
