group,n_nodes,has_failures,run,n_clusters_initial,tasks_dispatched,tasks_remaining,tasks_total,qi_initial,sr_initial,qi_final,sr_final,tii_final,arf_final,p_threat_final,net_learning_final,n_leaders_failed_total,n_orphans_total
200_no_failures,200,0,1,16,11,1,12,0.995724,1.0,0.995722,1.0,0.527592,0.007845,0.067893,0.980616,0,0
200_no_failures,200,0,2,19,10,2,12,0.994734,1.0,0.994735,1.0,0.529044,0.009222,0.080228,0.970709,0,0
200_no_failures,200,0,3,17,11,1,12,0.993651,0.995,0.99365,0.995,0.526272,0.008289,0.062589,0.975212,0,0
200_no_failures,200,0,4,17,9,2,11,0.990423,0.985,0.990421,0.985,0.522965,0.008312,0.085087,0.977862,0,0
200_no_failures,200,0,5,20,11,1,12,0.993706,0.995,0.99312,0.995,0.529504,0.0097,0.070556,0.970011,0,0
200_no_failures,200,0,6,17,11,1,12,0.989579,0.98,0.989578,0.98,0.519576,0.008302,0.105624,0.976753,0,0
200_no_failures,200,0,7,19,10,1,11,0.993971,0.995,0.993971,0.995,0.526939,0.009242,0.104288,0.972865,0,0
200_no_failures,200,0,8,19,8,3,11,0.995122,1.0,0.995128,1.0,0.531273,0.009253,0.06776,0.973984,0,0
200_no_failures,200,0,9,15,9,2,11,0.995977,1.0,0.995977,1.0,0.515734,0.007216,0.075612,0.96214,0,0
200_no_failures,200,0,10,21,11,1,12,0.989338,0.98,0.989337,0.98,0.522503,0.010173,0.107907,0.968831,0,0
200_no_failures,200,0,11,24,8,3,11,0.996782,1.0,0.996783,1.0,0.539096,0.011682,0.127313,0.97347,0,0
200_no_failures,200,0,12,19,10,1,11,0.991715,0.99,0.991719,0.99,0.523518,0.009187,0.089711,0.967073,0,0
200_no_failures,200,0,13,23,10,1,11,0.99199,0.985,0.991996,0.985,0.523951,0.010995,0.120116,0.956098,0,0
200_no_failures,200,0,14,19,11,1,12,0.995116,1.0,0.995116,1.0,0.533595,0.00932,0.092843,0.98101,0,0
200_no_failures,200,0,15,16,11,1,12,0.990526,0.985,0.990525,0.985,0.520646,0.007814,0.038063,0.976703,0,0
200_no_failures,200,0,16,21,11,1,12,0.995163,1.0,0.995166,1.0,0.538535,0.010304,0.088268,0.981338,0,0
200_no_failures,200,0,17,28,9,2,11,0.993604,0.995,0.993601,0.995,0.542191,0.01356,0.1392,0.968542,0,0
200_no_failures,200,0,18,23,9,2,11,0.993817,0.995,0.993813,0.995,0.526994,0.011031,0.150881,0.95923,0,0
200_no_failures,200,0,19,20,11,1,12,0.994329,1.0,0.994329,1.0,0.531615,0.009726,0.093496,0.972579,0,0
200_no_failures,200,0,20,20,11,1,12,0.99333,0.995,0.993329,0.995,0.523213,0.009643,0.141871,0.964257,0,0
200_no_failures,200,0,21,18,11,1,12,0.990654,0.985,0.990654,0.985,0.515911,0.00864,0.103472,0.959958,0,0
200_no_failures,200,0,22,19,10,1,11,0.989191,0.98,0.989197,0.98,0.522651,0.009245,0.08078,0.973118,0,0
200_no_failures,200,0,23,21,9,2,11,0.994821,1.0,0.994821,1.0,0.533901,0.010236,0.114914,0.974869,0,0
200_no_failures,200,0,24,19,11,1,12,0.99499,1.0,0.99499,1.0,0.532512,0.009279,0.070841,0.976754,0,0
200_no_failures,200,0,25,24,11,1,12,0.982662,0.96,0.982662,0.96,0.519244,0.011526,0.106244,0.960508,0,0
200_no_failures,200,0,26,20,11,1,12,0.990916,0.985,0.990915,0.985,0.52462,0.009698,0.116442,0.969779,0,0
200_no_failures,200,0,27,22,11,1,12,0.992171,0.99,0.992171,0.99,0.527233,0.010637,0.132547,0.967011,0,0
200_no_failures,200,0,28,22,10,1,11,0.995547,1.0,0.99555,1.0,0.533108,0.010659,0.116122,0.968989,0,0
200_no_failures,200,0,29,19,11,1,12,0.993941,0.995,0.99394,0.995,0.529611,0.009267,0.089116,0.975461,0,0
200_no_failures,200,0,30,14,11,1,12,0.989707,0.985,0.989707,0.985,0.508924,0.006743,0.077284,0.963225,0,0
200_no_failures,200,0,31,12,9,2,11,0.993816,0.995,0.993816,0.995,0.51558,0.005868,0.03705,0.978065,0,0
200_no_failures,200,0,32,25,11,1,12,0.994158,0.995,0.994157,0.995,0.542186,0.012244,0.123294,0.979555,0,0
200_no_failures,200,0,33,18,10,1,11,0.995266,1.0,0.995273,1.0,0.524508,0.008696,0.080459,0.966258,0,0
200_no_failures,200,0,34,20,10,1,11,0.994802,1.0,0.994806,1.0,0.534054,0.009762,0.081159,0.976223,0,0
200_no_failures,200,0,35,17,10,2,12,0.994531,0.995,0.99453,0.995,0.525726,0.008303,0.083537,0.976766,0,0
200_with_failures,200,1,1,20,11,1,12,0.993874,0.995,0.991997,0.994681,0.516491,0.006236,0.061295,0.977006,12,233
200_with_failures,200,1,2,19,10,1,11,0.995543,1.0,0.994184,1.0,0.521014,0.007691,0.080687,0.969066,11,231
200_with_failures,200,1,3,21,11,1,12,0.996253,1.0,0.993106,1.0,0.532818,0.009374,0.095492,0.979033,12,166
200_with_failures,200,1,4,20,11,1,12,0.991614,0.99,0.989701,0.989305,0.525331,0.008824,0.055705,0.970643,13,158
200_with_failures,200,1,5,19,11,1,12,0.994446,0.995,0.991198,0.994737,0.517365,0.007672,0.163152,0.971784,10,170
200_with_failures,200,1,6,22,11,1,12,0.990994,0.985,0.992312,1.0,0.525255,0.009206,0.119421,0.966645,11,183
200_with_failures,200,1,7,23,11,1,12,0.996352,1.0,0.994209,1.0,0.520349,0.010026,0.161844,0.95247,10,232
200_with_failures,200,1,8,22,9,2,11,0.993586,0.995,0.991836,0.994737,0.52327,0.009642,0.131791,0.96415,10,219
200_with_failures,200,1,9,26,11,1,12,0.99038,0.985,0.98881,0.984043,0.527437,0.011248,0.118916,0.961189,12,181
200_with_failures,200,1,10,18,9,2,11,0.977235,0.94,0.990684,0.994737,0.512193,0.008015,0.106687,0.951798,10,98
200_with_failures,200,1,11,19,11,1,12,0.993411,0.995,0.990307,0.994709,0.525284,0.008751,0.098441,0.972904,11,146
200_with_failures,200,1,12,16,9,2,11,0.995193,1.0,0.993924,1.0,0.521033,0.00717,0.064068,0.973103,10,215
200_with_failures,200,1,13,26,11,1,12,0.995562,1.0,0.993475,1.0,0.530278,0.010256,0.136442,0.969174,11,161
200_with_failures,200,1,14,20,11,1,12,0.989948,0.985,0.992045,0.994681,0.524748,0.00828,0.060893,0.972868,12,162
200_with_failures,200,1,15,20,8,3,11,0.99563,1.0,0.991408,1.0,0.525673,0.008761,0.087274,0.968812,12,140
200_with_failures,200,1,16,20,11,1,12,0.993894,0.995,0.993036,1.0,0.52628,0.00883,0.10611,0.971298,13,215
200_with_failures,200,1,17,23,9,2,11,0.993885,0.995,0.991294,0.994737,0.517727,0.009528,0.137518,0.952761,10,108
200_with_failures,200,1,18,23,11,1,12,0.994952,1.0,0.992641,1.0,0.524632,0.010096,0.14368,0.959126,10,180
200_with_failures,200,1,19,17,11,1,12,0.99115,0.985,0.990776,0.994737,0.523139,0.00772,0.083316,0.977823,10,147
200_with_failures,200,1,20,18,10,1,11,0.989761,0.98,0.986239,0.978947,0.511,0.008574,0.099476,0.958264,10,223
200_with_failures,200,1,21,15,10,1,11,0.994088,0.995,0.992065,0.994737,0.499456,0.004543,0.102074,0.959007,10,187
200_with_failures,200,1,22,15,9,2,11,0.992793,0.99,0.990686,0.989474,0.500327,0.006028,0.125196,0.954394,10,209
200_with_failures,200,1,23,24,11,1,12,0.992961,0.995,0.990907,0.994737,0.528202,0.010207,0.153232,0.969714,10,199
200_with_failures,200,1,24,16,11,1,12,0.995266,1.0,0.993143,1.0,0.519794,0.006722,0.09328,0.977221,11,209
200_with_failures,200,1,25,23,11,1,12,0.988096,0.975,0.992131,0.994709,0.519403,0.009601,0.138439,0.955027,11,188
200_with_failures,200,1,26,20,10,1,11,0.989721,0.98,0.992688,0.994681,0.517879,0.007232,0.087857,0.971213,12,175
200_with_failures,200,1,27,17,10,1,11,0.992628,0.99,0.990354,0.989474,0.520287,0.007215,0.071147,0.979182,10,172
200_with_failures,200,1,28,14,9,2,11,0.989236,0.98,0.987274,0.978947,0.499716,0.00507,0.086815,0.963386,10,217
200_with_failures,200,1,29,18,11,1,12,0.994149,0.995,0.990972,0.994681,0.515454,0.007685,0.096395,0.963128,12,180
200_with_failures,200,1,30,19,11,1,12,0.98962,0.98,0.987253,0.978836,0.509255,0.007682,0.138388,0.96794,11,188
200_with_failures,200,1,31,26,11,1,12,0.994189,0.995,0.990924,0.994681,0.52993,0.011271,0.152589,0.963185,12,159
200_with_failures,200,1,32,18,9,2,11,0.995883,1.0,0.992994,1.0,0.514943,0.007579,0.114666,0.95999,10,192
200_with_failures,200,1,33,29,11,1,12,0.991316,0.985,0.991616,0.994709,0.535396,0.012696,0.143078,0.959817,11,158
200_with_failures,200,1,34,17,9,2,11,0.98921,0.98,0.992676,1.0,0.522206,0.00721,0.104733,0.978445,10,203
200_with_failures,200,1,35,16,10,1,11,0.993354,0.995,0.992549,0.994737,0.514854,0.005663,0.045169,0.978142,10,199
250_no_failures,250,0,1,21,11,1,12,0.990447,0.984,0.990435,0.984,0.521276,0.008227,0.123582,0.979451,0,0
250_no_failures,250,0,2,21,11,1,12,0.993004,0.992,0.993004,0.992,0.527516,0.008277,0.111127,0.985384,0,0
250_no_failures,250,0,3,18,11,1,12,0.991247,0.984,0.991245,0.984,0.512659,0.006996,0.084904,0.971674,0,0
250_no_failures,250,0,4,26,11,1,12,0.994862,0.996,0.994858,0.996,0.534265,0.010218,0.135085,0.982468,0,0
250_no_failures,250,0,5,23,11,1,12,0.995387,0.996,0.995386,0.996,0.523944,0.00895,0.149647,0.972805,0,0
250_no_failures,250,0,6,25,11,1,12,0.989626,0.98,0.989619,0.98,0.510697,0.009491,0.139528,0.949098,0,0
250_no_failures,250,0,7,19,11,1,12,0.993542,0.992,0.993539,0.992,0.518322,0.007384,0.095518,0.971582,0,0
250_no_failures,250,0,8,19,10,1,11,0.993008,0.988,0.993005,0.988,0.511439,0.00732,0.100549,0.963203,0,0
250_no_failures,250,0,9,23,11,1,12,0.991038,0.988,0.991037,0.988,0.520802,0.008932,0.126712,0.970823,0,0
250_no_failures,250,0,10,23,11,1,12,0.993509,0.992,0.993507,0.992,0.524414,0.008942,0.108283,0.971907,0,0
250_no_failures,250,0,11,26,11,1,12,0.988463,0.972,0.988474,0.972,0.515956,0.010038,0.158283,0.965165,0,0
250_no_failures,250,0,12,23,11,1,12,0.994393,0.992,0.994378,0.992,0.522232,0.008964,0.157232,0.974326,0,0
250_no_failures,250,0,13,23,10,1,11,0.995871,1.0,0.995245,1.0,0.529776,0.008988,0.102494,0.976981,0,0
250_no_failures,250,0,14,19,11,1,12,0.993744,0.992,0.993739,0.992,0.518813,0.007424,0.112297,0.976777,0,0
250_no_failures,250,0,15,19,11,1,12,0.993028,0.992,0.992867,0.992,0.517743,0.007376,0.086963,0.970479,0,0
250_no_failures,250,0,16,18,11,1,12,0.992434,0.988,0.992283,0.988,0.516608,0.007017,0.068352,0.974581,0,0
250_no_failures,250,0,17,24,11,1,12,0.99496,0.996,0.99496,0.996,0.530041,0.009389,0.128288,0.978062,0,0
250_no_failures,250,0,18,21,11,1,12,0.993939,0.992,0.993934,0.992,0.527091,0.008257,0.06743,0.982967,0,0
250_no_failures,250,0,19,19,11,1,12,0.994283,0.996,0.994276,0.996,0.519956,0.007397,0.084729,0.97334,0,0
250_no_failures,250,0,20,18,10,1,11,0.993427,0.992,0.993432,0.992,0.518681,0.00705,0.091165,0.979182,0,0
250_no_failures,250,0,21,25,9,2,11,0.992168,0.988,0.992166,0.988,0.512315,0.009492,0.138002,0.949164,0,0
250_no_failures,250,0,22,21,9,2,11,0.985878,0.968,0.985871,0.968,0.515107,0.008208,0.106427,0.977166,0,0
250_no_failures,250,0,23,21,11,1,12,0.988883,0.98,0.988864,0.98,0.517437,0.008174,0.101221,0.973137,0,0
250_no_failures,250,0,24,22,10,1,11,0.991891,0.984,0.991898,0.984,0.51839,0.008561,0.137636,0.972875,0,0
250_no_failures,250,0,25,21,10,1,11,0.991651,0.984,0.991652,0.984,0.523455,0.008262,0.104044,0.983577,0,0
250_no_failures,250,0,26,21,11,1,12,0.991323,0.988,0.991309,0.988,0.52457,0.008241,0.094959,0.98106,0,0
250_no_failures,250,0,27,23,11,1,12,0.994615,0.996,0.994109,0.996,0.525526,0.008969,0.132549,0.974859,0,0
250_no_failures,250,0,28,17,11,1,12,0.988087,0.972,0.988085,0.972,0.507364,0.006589,0.049951,0.969035,0,0
250_no_failures,250,0,29,28,11,1,12,0.990419,0.98,0.990418,0.98,0.527454,0.010879,0.130204,0.971339,0,0
250_no_failures,250,0,30,20,10,1,11,0.989708,0.98,0.989705,0.98,0.517843,0.007822,0.087211,0.977771,0,0
250_no_failures,250,0,31,22,11,1,12,0.989493,0.98,0.989492,0.98,0.517285,0.008547,0.11591,0.97126,0,0
