[HISTORICAL]
# timestamp,action,qiDelta,srDelta,reward
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0,0,0
235,0,0,0,0
240,0,0,0,0
245,0,0,0,0
250,0,0,0,0
255,0,0,0,0
260,0,0,0,0
265,0,0,0,0
270,0,0,0,0
275,0,0,0,0
280,0,0,0,0
285,0,0,0,0
290,0,0,0,0
295,0,0,0,0
300,0,0,0,0
305,0,0,0,0
310,0,-0.281972,-0.54,-0.624592
315,0,0.325645,0.50486,0.602553
320,0,-0.00721983,-0.0240661,-0.0262321
325,0,-0.00721983,-0.0240661,-0.0262321
330,0,-0.00721983,-0.0240661,-0.0262321
335,0,-0.00721983,-0.0240661,-0.0262321
340,0,-0.00721983,-0.0240661,-0.0262321
345,0,-0.00721983,-0.0240661,-0.0262321
350,0,-0.00721983,-0.0240661,-0.0262321
355,0,-0.00721983,-0.0240661,-0.0262321
360,0,-0.00721983,-0.0240661,-0.0262321
365,0,-0.00721983,-0.0240661,-0.0262321
370,0,-0.00721983,-0.0240661,-0.0262321
375,0,-0.00721983,-0.0240661,-0.0262321
380,0,-0.00721983,-0.0240661,-0.0262321
385,0,-0.00721983,-0.0240661,-0.0262321
390,0,-0.00721983,-0.0240661,-0.0262321
395,0,-0.00721983,-0.0240661,-0.0262321
400,0,-0.00721983,-0.0240661,-0.0262321
405,0,-0.00721983,-0.0240661,-0.0262321
410,0,-0.00721983,-0.0240661,-0.0262321
415,0,-0.00721983,-0.0240661,-0.0262321
420,0,-0.00721983,-0.0240661,-0.0262321
425,0,-0.00721983,-0.0240661,-0.0262321
430,0,-0.00721983,-0.0240661,-0.0262321
435,0,-0.00721983,-0.0240661,-0.0262321
440,0,-0.00721983,-0.0240661,-0.0262321
445,0,-0.00721983,-0.0240661,-0.0262321
450,0,-0.00721983,-0.0240661,-0.0262321
455,0,-0.00721983,-0.0240661,-0.0262321
460,0,-0.00721983,-0.0240661,-0.0262321
465,0,-0.00721983,-0.0240661,-0.0262321
470,0,-0.00721983,-0.0240661,-0.0262321
475,0,-0.00721983,-0.0240661,-0.0262321
480,0,-0.00721983,-0.0240661,-0.0262321
485,0,-0.00721983,-0.0240661,-0.0262321
490,0,-0.00721983,-0.0240661,-0.0262321
495,0,-0.00721983,-0.0240661,-0.0262321
500,0,-0.00721983,-0.0240661,-0.0262321
505,0,-0.00721983,-0.0240661,-0.0262321
510,0,-0.00721983,-0.0240661,-0.0262321
515,0,-0.00721983,-0.0240661,-0.0262321
520,0,-0.00721983,-0.0240661,-0.0262321
525,0,-0.00721983,-0.0240661,-0.0262321
530,0,-0.00721983,-0.0240661,-0.0262321
535,0,-0.00721983,-0.0240661,-0.0262321
540,0,-0.00721983,-0.0240661,-0.0262321
545,0,-0.00721983,-0.0240661,-0.0262321
550,0,-0.00721983,-0.0240661,-0.0262321
555,0,-0.00721983,-0.0240661,-0.0262321
560,0,-0.00721983,-0.0240661,-0.0262321
565,0,-0.00721983,-0.0240661,-0.0262321
570,0,-0.00721983,-0.0240661,-0.0262321
575,0,-0.00721983,-0.0240661,-0.0262321
580,0,-0.00721983,-0.0240661,-0.0262321
585,0,-0.00721983,-0.0240661,-0.0262321
590,0,-0.00721983,-0.0240661,-0.0262321
595,0,-0.00721983,-0.0240661,-0.0262321
600,0,-0.00721983,-0.0240661,-0.0262321
605,0,-0.00721983,-0.0240661,-0.0262321
610,0,-0.249688,-0.482777,-0.557683
615,0,0.291885,0.433362,0.520927
620,0,-0.010417,-0.0347234,-0.0378485
625,0,-0.010417,-0.0347234,-0.0378485
630,0,-0.010417,-0.0347234,-0.0378485
635,0,-0.010417,-0.0347234,-0.0378485
640,0,-0.010417,-0.0347234,-0.0378485
645,0,-0.010417,-0.0347234,-0.0378485
650,0,-0.010417,-0.0347234,-0.0378485
655,0,-0.010417,-0.0347234,-0.0378485
660,0,-0.010417,-0.0347234,-0.0378485
665,0,-0.010417,-0.0347234,-0.0378485
670,0,-0.010417,-0.0347234,-0.0378485
675,0,-0.010417,-0.0347234,-0.0378485
680,0,-0.010417,-0.0347234,-0.0378485
685,0,-0.010417,-0.0347234,-0.0378485
690,0,-0.010417,-0.0347234,-0.0378485
695,0,-0.010417,-0.0347234,-0.0378485
700,0,-0.010417,-0.0347234,-0.0378485
705,0,-0.010417,-0.0347234,-0.0378485
710,0,-0.010417,-0.0347234,-0.0378485
715,0,-0.010417,-0.0347234,-0.0378485
720,0,-0.010417,-0.0347234,-0.0378485
725,0,-0.010417,-0.0347234,-0.0378485
730,0,-0.010417,-0.0347234,-0.0378485
735,0,-0.010417,-0.0347234,-0.0378485
740,0,-0.010417,-0.0347234,-0.0378485
745,0,-0.010417,-0.0347234,-0.0378485
750,0,-0.010417,-0.0347234,-0.0378485
755,0,-0.010417,-0.0347234,-0.0378485
760,0,-0.010417,-0.0347234,-0.0378485
765,0,-0.010417,-0.0347234,-0.0378485
770,0,-0.010417,-0.0347234,-0.0378485
775,0,-0.010417,-0.0347234,-0.0378485
780,0,-0.010417,-0.0347234,-0.0378485
785,0,-0.010417,-0.0347234,-0.0378485
790,0,-0.010417,-0.0347234,-0.0378485
795,0,-0.010417,-0.0347234,-0.0378485
800,0,-0.010417,-0.0347234,-0.0378485
805,0,-0.010417,-0.0347234,-0.0378485
810,0,-0.010417,-0.0347234,-0.0378485
815,0,-0.010417,-0.0347234,-0.0378485
820,0,-0.010417,-0.0347234,-0.0378485
825,0,-0.010417,-0.0347234,-0.0378485
830,0,-0.010417,-0.0347234,-0.0378485
835,0,-0.010417,-0.0347234,-0.0378485
840,0,-0.010417,-0.0347234,-0.0378485
