[HISTORICAL]
# timestamp,action,qiDelta,srDelta,reward
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0,0,0
235,0,0,0,0
240,0,0,0,0
245,0,0,0,0
250,0,0,0,0
255,0,0,0,0
260,0,0,0,0
265,0,0,0,0
270,0,0,0,0
275,0,0,0,0
280,0,0,0,0
285,0,0,0,0
290,0,0,0,0
295,0,0,0,0
300,0,0,0,0
305,0,0,0,0
310,0,-0.350599,-0.512,-0.61718
315,0,0.341564,0.463669,0.566139
320,0,0.0291594,-0.0230373,-0.0142895
325,0,-0.00815602,-0.0271867,-0.0296335
330,0,-0.00815602,-0.0271867,-0.0296335
335,0,-0.00815602,-0.0271867,-0.0296335
340,0,-0.00815602,-0.0271867,-0.0296335
345,0,-0.00815602,-0.0271867,-0.0296335
350,0,-0.00815602,-0.0271867,-0.0296335
355,0,-0.00815602,-0.0271867,-0.0296335
360,0,-0.00815602,-0.0271867,-0.0296335
365,0,-0.00815602,-0.0271867,-0.0296335
370,0,-0.00815602,-0.0271867,-0.0296335
375,0,-0.00815602,-0.0271867,-0.0296335
380,0,-0.00815602,-0.0271867,-0.0296335
385,0,-0.00815602,-0.0271867,-0.0296335
390,0,-0.00815602,-0.0271867,-0.0296335
395,0,-0.00815602,-0.0271867,-0.0296335
400,0,-0.00815602,-0.0271867,-0.0296335
405,0,-0.00815602,-0.0271867,-0.0296335
410,0,-0.00815602,-0.0271867,-0.0296335
415,0,-0.00815602,-0.0271867,-0.0296335
420,0,-0.00815602,-0.0271867,-0.0296335
425,0,-0.00815602,-0.0271867,-0.0296335
430,0,-0.00815602,-0.0271867,-0.0296335
435,0,-0.00815602,-0.0271867,-0.0296335
440,0,-0.00815602,-0.0271867,-0.0296335
445,0,-0.00815602,-0.0271867,-0.0296335
450,0,-0.00815602,-0.0271867,-0.0296335
455,0,-0.00815602,-0.0271867,-0.0296335
460,0,-0.00815602,-0.0271867,-0.0296335
465,0,-0.00815602,-0.0271867,-0.0296335
470,0,-0.00815602,-0.0271867,-0.0296335
475,0,-0.00815602,-0.0271867,-0.0296335
480,0,-0.00815602,-0.0271867,-0.0296335
485,0,-0.00815602,-0.0271867,-0.0296335
490,0,-0.00815602,-0.0271867,-0.0296335
495,0,-0.00815602,-0.0271867,-0.0296335
500,0,-0.00815602,-0.0271867,-0.0296335
505,0,-0.00815602,-0.0271867,-0.0296335
510,0,-0.00815602,-0.0271867,-0.0296335
515,0,-0.00815602,-0.0271867,-0.0296335
520,0,-0.00815602,-0.0271867,-0.0296335
525,0,-0.00815602,-0.0271867,-0.0296335
530,0,-0.00815602,-0.0271867,-0.0296335
535,0,-0.00815602,-0.0271867,-0.0296335
540,0,-0.00815602,-0.0271867,-0.0296335
545,0,-0.00815602,-0.0271867,-0.0296335
550,0,-0.00815602,-0.0271867,-0.0296335
555,0,-0.00815602,-0.0271867,-0.0296335
560,0,-0.00815602,-0.0271867,-0.0296335
565,0,-0.00815602,-0.0271867,-0.0296335
570,0,-0.00815602,-0.0271867,-0.0296335
575,0,-0.00815602,-0.0271867,-0.0296335
580,0,-0.00815602,-0.0271867,-0.0296335
585,0,-0.00815602,-0.0271867,-0.0296335
590,0,-0.00815602,-0.0271867,-0.0296335
595,0,-0.00815602,-0.0271867,-0.0296335
600,0,-0.00815602,-0.0271867,-0.0296335
605,0,-0.00815602,-0.0271867,-0.0296335
610,0,-0.250129,-0.420913,-0.495952
615,0,0.285917,0.371224,0.456999
620,0,-0.00568094,-0.0256203,-0.0273245
625,0,-0.00840672,-0.0298397,-0.0323617
630,0,-0.0089519,-0.0298397,-0.0325252
635,0,-0.0089519,-0.0298397,-0.0325252
640,0,-0.0089519,-0.0298397,-0.0325252
645,0,-0.0089519,-0.0298397,-0.0325252
650,0,-0.0089519,-0.0298397,-0.0325252
655,0,-0.0089519,-0.0298397,-0.0325252
660,0,-0.0089519,-0.0298397,-0.0325252
665,0,-0.0089519,-0.0298397,-0.0325252
670,0,-0.0089519,-0.0298397,-0.0325252
675,0,-0.0089519,-0.0298397,-0.0325252
680,0,-0.0089519,-0.0298397,-0.0325252
685,0,-0.0089519,-0.0298397,-0.0325252
690,0,-0.0089519,-0.0298397,-0.0325252
695,0,-0.0089519,-0.0298397,-0.0325252
700,0,-0.0089519,-0.0298397,-0.0325252
705,0,-0.0089519,-0.0298397,-0.0325252
710,0,-0.0089519,-0.0298397,-0.0325252
715,0,-0.0089519,-0.0298397,-0.0325252
720,0,-0.0089519,-0.0298397,-0.0325252
725,0,-0.0089519,-0.0298397,-0.0325252
730,0,-0.0089519,-0.0298397,-0.0325252
735,0,-0.0089519,-0.0298397,-0.0325252
740,0,-0.0089519,-0.0298397,-0.0325252
745,0,-0.0089519,-0.0298397,-0.0325252
750,0,-0.0089519,-0.0298397,-0.0325252
755,0,-0.0089519,-0.0298397,-0.0325252
760,0,-0.0089519,-0.0298397,-0.0325252
765,0,-0.0089519,-0.0298397,-0.0325252
770,0,-0.0089519,-0.0298397,-0.0325252
775,0,-0.0089519,-0.0298397,-0.0325252
780,0,-0.0089519,-0.0298397,-0.0325252
785,0,-0.0089519,-0.0298397,-0.0325252
790,0,-0.0089519,-0.0298397,-0.0325252
795,0,-0.0089519,-0.0298397,-0.0325252
800,0,-0.0089519,-0.0298397,-0.0325252
805,0,-0.0089519,-0.0298397,-0.0325252
810,0,-0.0089519,-0.0298397,-0.0325252
815,0,-0.0089519,-0.0298397,-0.0325252
820,0,-0.0089519,-0.0298397,-0.0325252
825,0,-0.0089519,-0.0298397,-0.0325252
830,0,-0.0089519,-0.0298397,-0.0325252
