[HISTORICAL]
# timestamp,action,qiDelta,srDelta,reward
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0.162103,0.248228,0.296859
235,0,-0.0048,-0.016,-0.01744
240,0,-0.0048,-0.016,-0.01744
245,0,-0.0048,-0.016,-0.01744
250,0,-0.0048,-0.016,-0.01744
255,0,-0.0048,-0.016,-0.01744
260,0,-0.0048,-0.016,-0.01744
265,0,-0.0048,-0.016,-0.01744
270,0,-0.0048,-0.016,-0.01744
275,0,-0.0048,-0.016,-0.01744
280,0,-0.0048,-0.016,-0.01744
285,0,-0.0048,-0.016,-0.01744
290,0,-0.0048,-0.016,-0.01744
295,0,-0.0048,-0.016,-0.01744
300,0,-0.0048,-0.016,-0.01744
305,0,-0.0048,-0.016,-0.01744
310,0,-0.0048,-0.016,-0.01744
315,0,-0.0048,-0.016,-0.01744
320,0,-0.0048,-0.016,-0.01744
325,0,-0.0048,-0.016,-0.01744
330,0,-0.0048,-0.016,-0.01744
335,0,-0.0048,-0.016,-0.01744
340,0,-0.0048,-0.016,-0.01744
345,0,-0.0048,-0.016,-0.01744
350,0,-0.0048,-0.016,-0.01744
355,0,-0.0048,-0.016,-0.01744
360,0,-0.0048,-0.016,-0.01744
365,0,-0.0048,-0.016,-0.01744
370,0,-0.0048,-0.016,-0.01744
375,0,-0.0048,-0.016,-0.01744
380,0,-0.0048,-0.016,-0.01744
385,0,-0.0048,-0.016,-0.01744
390,0,-0.0048,-0.016,-0.01744
395,0,-0.0048,-0.016,-0.01744
400,0,-0.0048,-0.016,-0.01744
405,0,0.0721872,0.0866557,0.108312
410,0,-0.0072,-0.024,-0.02616
415,0,-0.0072,-0.024,-0.02616
420,0,-0.0072,-0.024,-0.02616
425,0,-0.0072,-0.024,-0.02616
430,0,-0.0072,-0.024,-0.02616
435,0,-0.0072,-0.024,-0.02616
440,0,-0.0072,-0.024,-0.02616
445,0,-0.0072,-0.024,-0.02616
450,0,-0.0072,-0.024,-0.02616
455,0,-0.0072,-0.024,-0.02616
460,0,-0.0072,-0.024,-0.02616
465,0,-0.0072,-0.024,-0.02616
470,0,-0.0072,-0.024,-0.02616
475,0,-0.0072,-0.024,-0.02616
480,0,-0.0072,-0.024,-0.02616
485,0,-0.0072,-0.024,-0.02616
490,0,-0.0072,-0.024,-0.02616
495,0,-0.0072,-0.024,-0.02616
500,0,-0.0072,-0.024,-0.02616
505,0,-0.0072,-0.024,-0.02616
510,0,-0.0072,-0.024,-0.02616
515,0,-0.0072,-0.024,-0.02616
520,0,-0.0072,-0.024,-0.02616
525,0,-0.0072,-0.024,-0.02616
530,0,-0.0072,-0.024,-0.02616
535,0,-0.0072,-0.024,-0.02616
540,0,-0.0072,-0.024,-0.02616
545,0,-0.0072,-0.024,-0.02616
550,0,-0.0072,-0.024,-0.02616
555,0,-0.0072,-0.024,-0.02616
560,0,-0.0072,-0.024,-0.02616
565,0,-0.0072,-0.024,-0.02616
570,0,-0.0072,-0.024,-0.02616
575,0,-0.0072,-0.024,-0.02616
580,0,-0.0072,-0.024,-0.02616
585,0,-0.0072,-0.024,-0.02616
590,0,-0.0072,-0.024,-0.02616
595,0,-0.0072,-0.024,-0.02616
600,0,-0.0072,-0.024,-0.02616
605,0,-0.0072,-0.024,-0.02616
610,0,-0.0072,-0.024,-0.02616
615,0,-0.0072,-0.024,-0.02616
620,0,-0.0072,-0.024,-0.02616
625,0,-0.0072,-0.024,-0.02616
630,0,-0.0072,-0.024,-0.02616
635,0,-0.0072,-0.024,-0.02616
640,0,-0.0072,-0.024,-0.02616
645,0,-0.0072,-0.024,-0.02616
650,0,-0.0072,-0.024,-0.02616
655,0,-0.0072,-0.024,-0.02616
660,0,-0.0072,-0.024,-0.02616
665,0,-0.0072,-0.024,-0.02616
670,0,-0.0072,-0.024,-0.02616
675,0,-0.0072,-0.024,-0.02616
680,0,-0.0072,-0.024,-0.02616
685,0,-0.0072,-0.024,-0.02616
690,0,-0.0072,-0.024,-0.02616
695,0,-0.0072,-0.024,-0.02616
700,0,-0.0072,-0.024,-0.02616
705,0,-0.0072,-0.024,-0.02616
710,0,-0.0072,-0.024,-0.02616
715,0,-0.0072,-0.024,-0.02616
720,0,-0.0072,-0.024,-0.02616
725,0,-0.0072,-0.024,-0.02616
730,0,-0.0072,-0.024,-0.02616
735,0,-0.0072,-0.024,-0.02616
740,0,-0.0072,-0.024,-0.02616
745,0,-0.0072,-0.024,-0.02616
750,0,-0.0072,-0.024,-0.02616
755,0,-0.0072,-0.024,-0.02616
760,0,-0.0072,-0.024,-0.02616
765,0,0.128856,0.200515,0.239171
770,0,-0.0108,-0.036,-0.03924
775,0,-0.0108,-0.036,-0.03924
780,0,-0.0108,-0.036,-0.03924
785,0,-0.0108,-0.036,-0.03924
790,0,-0.0108,-0.036,-0.03924
795,0,-0.0108,-0.036,-0.03924
800,0,-0.0108,-0.036,-0.03924
805,0,-0.0108,-0.036,-0.03924
810,0,-0.0108,-0.036,-0.03924
815,0,-0.0108,-0.036,-0.03924
820,0,-0.0108,-0.036,-0.03924
825,0,-0.0108,-0.036,-0.03924
830,0,-0.0108,-0.036,-0.03924
835,0,-0.0108,-0.036,-0.03924
840,0,-0.0108,-0.036,-0.03924
845,0,-0.0108,-0.036,-0.03924
850,0,-0.0108,-0.036,-0.03924
855,0,-0.0108,-0.036,-0.03924
860,0,-0.0108,-0.036,-0.03924
865,0,-0.0108,-0.036,-0.03924
870,0,-0.0108,-0.036,-0.03924
875,0,-0.0108,-0.036,-0.03924
880,0,-0.0108,-0.036,-0.03924
885,0,-0.0108,-0.036,-0.03924
