[HISTORICAL]
# timestamp,action,qiDelta,srDelta,reward
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0,0,0
235,0,0,0,0
240,0,0,0,0
245,0,0,0,0
250,0,0,0,0
255,0,0,0,0
260,0,0,0,0
265,0,0,0,0
270,0,0,0,0
275,0,0,0,0
280,0,0,0,0
285,0,0,0,0
290,0,0,0,0
295,0,0,0,0
300,0,0,0,0
305,0,0,0,0
310,0,0.143554,0.228163,0.271229
315,0,-0.00472195,-0.0157398,-0.0171564
320,0,-0.00472195,-0.0157398,-0.0171564
325,0,-0.00472195,-0.0157398,-0.0171564
330,0,-0.00472195,-0.0157398,-0.0171564
335,0,-0.00472195,-0.0157398,-0.0171564
340,0,-0.00472195,-0.0157398,-0.0171564
345,0,-0.00472195,-0.0157398,-0.0171564
350,0,-0.00472195,-0.0157398,-0.0171564
355,0,-0.00472195,-0.0157398,-0.0171564
360,0,-0.00472195,-0.0157398,-0.0171564
365,0,-0.00472195,-0.0157398,-0.0171564
370,0,-0.00472195,-0.0157398,-0.0171564
375,0,-0.00472195,-0.0157398,-0.0171564
380,0,-0.00472195,-0.0157398,-0.0171564
385,0,-0.00472195,-0.0157398,-0.0171564
390,0,-0.00472195,-0.0157398,-0.0171564
395,0,-0.00472195,-0.0157398,-0.0171564
400,0,-0.00472195,-0.0157398,-0.0171564
405,0,-0.00472195,-0.0157398,-0.0171564
410,0,-0.00472195,-0.0157398,-0.0171564
415,0,-0.00472195,-0.0157398,-0.0171564
420,0,-0.00472195,-0.0157398,-0.0171564
425,0,-0.00472195,-0.0157398,-0.0171564
430,0,-0.00472195,-0.0157398,-0.0171564
435,0,-0.00472195,-0.0157398,-0.0171564
440,0,-0.00472195,-0.0157398,-0.0171564
445,0,-0.00472195,-0.0157398,-0.0171564
450,0,-0.00472195,-0.0157398,-0.0171564
455,0,-0.00472195,-0.0157398,-0.0171564
460,0,0.19405,0.441597,0.499812
465,0,-0.00826173,-0.0275391,-0.0300176
470,0,-0.00826173,-0.0275391,-0.0300176
475,0,-0.00826173,-0.0275391,-0.0300176
480,0,-0.00826173,-0.0275391,-0.0300176
485,0,-0.00826173,-0.0275391,-0.0300176
490,0,-0.00826173,-0.0275391,-0.0300176
495,0,-0.00826173,-0.0275391,-0.0300176
500,0,-0.00826173,-0.0275391,-0.0300176
505,0,-0.00826173,-0.0275391,-0.0300176
510,0,-0.00826173,-0.0275391,-0.0300176
515,0,-0.00826173,-0.0275391,-0.0300176
520,0,-0.00826173,-0.0275391,-0.0300176
525,0,-0.00826173,-0.0275391,-0.0300176
530,0,-0.00826173,-0.0275391,-0.0300176
535,0,-0.00826173,-0.0275391,-0.0300176
540,0,-0.00826173,-0.0275391,-0.0300176
545,0,-0.00826173,-0.0275391,-0.0300176
550,0,-0.00826173,-0.0275391,-0.0300176
555,0,-0.00826173,-0.0275391,-0.0300176
560,0,-0.00826173,-0.0275391,-0.0300176
565,0,-0.00826173,-0.0275391,-0.0300176
570,0,-0.00826173,-0.0275391,-0.0300176
575,0,-0.00826173,-0.0275391,-0.0300176
580,0,-0.00826173,-0.0275391,-0.0300176
585,0,-0.00826173,-0.0275391,-0.0300176
590,0,-0.00826173,-0.0275391,-0.0300176
595,0,-0.00826173,-0.0275391,-0.0300176
600,0,-0.00826173,-0.0275391,-0.0300176
605,0,-0.00826173,-0.0275391,-0.0300176
610,0,0.0952718,0.114833,0.143415
615,0,-0.010147,-0.0353333,-0.0383774
620,0,-0.01185,-0.0395,-0.043055
625,0,-0.01185,-0.0395,-0.043055
630,0,-0.01185,-0.0395,-0.043055
635,0,-0.01185,-0.0395,-0.043055
640,0,-0.01185,-0.0395,-0.043055
645,0,-0.01185,-0.0395,-0.043055
650,0,-0.01185,-0.0395,-0.043055
655,0,-0.01185,-0.0395,-0.043055
660,0,-0.01185,-0.0395,-0.043055
665,0,-0.01185,-0.0395,-0.043055
670,0,-0.01185,-0.0395,-0.043055
675,0,-0.01185,-0.0395,-0.043055
680,0,-0.01185,-0.0395,-0.043055
685,0,-0.01185,-0.0395,-0.043055
690,0,-0.01185,-0.0395,-0.043055
695,0,-0.01185,-0.0395,-0.043055
700,0,-0.01185,-0.0395,-0.043055
705,0,-0.01185,-0.0395,-0.043055
710,0,-0.01185,-0.0395,-0.043055
715,0,-0.01185,-0.0395,-0.043055
720,0,-0.01185,-0.0395,-0.043055
725,0,-0.01185,-0.0395,-0.043055
730,0,-0.01185,-0.0395,-0.043055
735,0,-0.01185,-0.0395,-0.043055
740,0,-0.01185,-0.0395,-0.043055
745,0,-0.01185,-0.0395,-0.043055
750,0,-0.01185,-0.0395,-0.043055
755,0,-0.01185,-0.0395,-0.043055
760,0,-0.01185,-0.0395,-0.043055
765,0,-0.01185,-0.0395,-0.043055
770,0,-0.01185,-0.0395,-0.043055
775,0,-0.01185,-0.0395,-0.043055
780,0,-0.01185,-0.0395,-0.043055
785,0,-0.01185,-0.0395,-0.043055
790,0,-0.01185,-0.0395,-0.043055
795,0,-0.01185,-0.0395,-0.043055
800,0,-0.01185,-0.0395,-0.043055
805,0,-0.01185,-0.0395,-0.043055
810,0,-0.01185,-0.0395,-0.043055
815,0,-0.01185,-0.0395,-0.043055
820,0,-0.01185,-0.0395,-0.043055
825,0,-0.01185,-0.0395,-0.043055
830,0,-0.01185,-0.0395,-0.043055
835,0,-0.01185,-0.0395,-0.043055
840,0,-0.01185,-0.0395,-0.043055
845,0,-0.01185,-0.0395,-0.043055
850,0,-0.01185,-0.0395,-0.043055
855,0,-0.01185,-0.0395,-0.043055
860,0,-0.01185,-0.0395,-0.043055
