timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster
170,0.988612,0.976667,0.379411,0.00616507,0.3351,0.711354,0.286168,0,0,0,0,0,0,0,0,0,0
175,0.988611,0.976667,0.380212,0.00618119,0.332221,0.713214,0.289151,0,0,0,0,0,0,0,0,0,0
180,0.988611,0.976667,0.381041,0.00619731,0.329951,0.715074,0.291483,0,0,0,0,0,0,0,0,0,0
185,0.98861,0.976667,0.381908,0.00621343,0.328535,0.716934,0.292934,0,0,0,0,0,0,0,0,0,0
190,0.988609,0.976667,0.382805,0.00622955,0.327785,0.718794,0.293702,0,0,0,0,0,0,0,0,0,0
195,0.98861,0.976667,0.383722,0.00624567,0.327502,0.720654,0.293993,0,0,0,0,0,0,0,0,0,0
200,0.988611,0.976667,0.384654,0.00626179,0.32754,0.722514,0.293957,0,0,0,0,0,0,0,0,0,0
205,0.988621,0.976667,0.385595,0.00627791,0.327815,0.724374,0.293695,0,0,0,0,0,0,0,0,0,0
210,0.988611,0.976667,0.386543,0.00629403,0.328208,0.726234,0.293275,0,0,0,0,0,0,0,0,0,0
215,0.988612,0.976667,0.387496,0.00631015,0.328729,0.728094,0.292744,0,0,0,0,0,0,0,0,0,0
220,0.98861,0.976667,0.388453,0.00632627,0.329325,0.729954,0.292131,0,0,0,0,0,0,0,0,0,0
225,0.98861,0.976667,0.389412,0.00634239,0.329982,0.731814,0.29146,0,0,0,0,0,0,0,0,0,0
230,0.988609,0.976667,0.390373,0.00635851,0.330679,0.733674,0.290745,0,0,0,0,0,0,0,0,0,0
235,0.98861,0.976667,0.391335,0.00637463,0.331411,0.735534,0.289998,0,0,0,0,0,0,0,0,0,0
240,0.98861,0.976667,0.392299,0.00639075,0.332166,0.737394,0.289225,0,0,0,0,0,0,0,0,0,0
245,0.988611,0.976667,0.393263,0.00640687,0.332942,0.739254,0.288433,0,0,0,0,0,0,0,0,0,0
250,0.98861,0.976667,0.394228,0.00642299,0.33373,0.741114,0.287626,0,0,0,0,0,0,0,0,0,0
255,0.988039,0.976667,0.395194,0.00643911,0.333563,0.742974,0.286807,0,0,0,0,0,0,0,0,0,0
260,0.988617,0.976667,0.39616,0.00645523,0.335355,0.744834,0.285978,0,0,0,0,0,0,0,0,0,0
265,0.98861,0.976667,0.397126,0.00647135,0.336159,0.746694,0.285141,0,0,0,0,0,0,0,0,0,0
270,0.98861,0.976667,0.398092,0.00648747,0.336984,0.748554,0.284298,0,0,0,0,0,0,0,0,0,0
275,0.988611,0.976667,0.399059,0.00650359,0.337816,0.750414,0.283449,0,0,0,0,0,0,0,0,0,0
280,0.988611,0.976667,0.400026,0.00651971,0.338651,0.752274,0.282595,0,0,0,0,0,0,0,0,0,0
285,0.988611,0.976667,0.400993,0.00653583,0.339489,0.754134,0.281736,0,0,0,0,0,0,0,0,0,0
290,0.988616,0.976667,0.401961,0.00655195,0.340342,0.755994,0.280874,0,0,0,0,0,0,0,0,0,0
295,0.988617,0.976667,0.402928,0.00656807,0.341189,0.757854,0.280009,0,0,0,0,0,0,0,0,0,0
300,0.98861,0.976667,0.403896,0.00658419,0.342025,0.759714,0.279141,0,0,0,0,0,0,0,0,0,0
305,0.988611,0.976667,0.404864,0.00660031,0.342879,0.761574,0.278269,0,0,0,0,0,0,0,0,0,0
310,0.98861,0.976667,0.405832,0.00661643,0.343732,0.763434,0.277396,0,0,0,0,0,0,0,0,0,0
315,0.988611,0.976667,0.406799,0.00663255,0.344589,0.765294,0.27652,0,0,0,0,0,0,0,0,0,0
320,0.988611,0.976667,0.407768,0.00664867,0.345448,0.767154,0.275642,0,0,0,0,0,0,0,0,0,0
325,0.988622,0.976667,0.408736,0.00666479,0.346329,0.769014,0.274762,0,0,0,0,0,0,0,0,0,0
330,0.987242,0.976667,0.409704,0.00668091,0.344766,0.770874,0.27388,0,0,0,0,0,0,0,0,0,0
335,0.988613,0.976667,0.410672,0.00669703,0.348039,0.772734,0.272996,0,0,0,0,0,0,0,0,0,0
340,0.98861,0.976667,0.411641,0.00671315,0.3489,0.774594,0.272111,0,0,0,0,0,0,0,0,0,0
345,0.98861,0.976667,0.412609,0.00672927,0.349767,0.776454,0.271224,0,0,0,0,0,0,0,0,0,0
350,0.98861,0.976667,0.413577,0.00674539,0.350635,0.778314,0.270336,0,0,0,0,0,0,0,0,0,0
355,0.98861,0.976667,0.414546,0.00676151,0.351506,0.780174,0.269446,0,0,0,0,0,0,0,0,0,0
360,0.98861,0.976667,0.415515,0.00677763,0.352378,0.782034,0.268555,0,0,0,0,0,0,0,0,0,0
365,0.988613,0.976667,0.416483,0.00679375,0.353255,0.783894,0.267662,0,0,0,0,0,0,0,0,0,0
370,0.988618,0.976667,0.417452,0.00680987,0.354139,0.785754,0.266768,0,0,0,0,0,0,0,0,0,0
375,0.988616,0.976667,0.418421,0.00682599,0.35501,0.787614,0.265873,0,0,0,0,0,0,0,0,0,0
380,0.988609,0.976667,0.41939,0.00684211,0.355874,0.789474,0.264977,0,0,0,0,0,0,0,0,0,0
385,0.98861,0.976667,0.420359,0.00685823,0.356753,0.791334,0.26408,0,0,0,0,0,0,0,0,0,0
390,0.98861,0.976667,0.421327,0.00687435,0.357632,0.793194,0.263181,0,0,0,0,0,0,0,0,0,0
395,0.988617,0.976667,0.422296,0.00689047,0.358525,0.795054,0.262282,0,0,0,0,0,0,0,0,0,0
400,0.988617,0.976667,0.423265,0.00690659,0.359405,0.796914,0.261382,0,0,0,0,0,0,0,0,0,0
405,0.988611,0.976667,0.424234,0.00692271,0.360274,0.798774,0.260481,0,0,0,0,0,0,0,0,0,0
410,0.988611,0.976667,0.425204,0.00693883,0.361157,0.800634,0.259579,0,0,0,0,0,0,0,0,0,0
415,0.988611,0.976667,0.426173,0.00695495,0.362039,0.802494,0.258676,0,0,0,0,0,0,0,0,0,0
420,0.98861,0.976667,0.427142,0.00697107,0.362922,0.804354,0.257772,0,0,0,0,0,0,0,0,0,0
425,0.988609,0.976667,0.428111,0.00698719,0.363805,0.806214,0.256868,0,0,0,0,0,0,0,0,0,0
430,0.988616,0.976667,0.42908,0.00700331,0.364702,0.808074,0.255963,0,0,0,0,0,0,0,0,0,0
435,0.988616,0.976667,0.43005,0.00701943,0.365588,0.809934,0.255057,0,0,0,0,0,0,0,0,0,0
440,0.98861,0.976667,0.431019,0.00703555,0.366464,0.811794,0.25415,0,0,0,0,0,0,0,0,0,0
445,0.988611,0.976667,0.431988,0.00705167,0.367352,0.813654,0.253243,0,0,0,0,0,0,0,0,0,0
