timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster
170,0.990193,0.98,0.370295,0.0055762,0.367912,0.697025,0.29707,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
175,0.990193,0.98,0.371262,0.00559129,0.368494,0.698911,0.296485,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
180,0.990193,0.98,0.37226,0.00560638,0.369841,0.700798,0.295125,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
185,0.990193,0.98,0.37325,0.00562148,0.371007,0.702685,0.293952,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
190,0.990193,0.98,0.374234,0.00563657,0.372034,0.704571,0.292918,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
195,0.990192,0.98,0.375216,0.00565166,0.372991,0.706458,0.291954,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
200,0.990192,0.98,0.376197,0.00566676,0.373918,0.708345,0.29102,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
205,0.990202,0.98,0.377177,0.00568185,0.374853,0.710231,0.290095,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
210,0.990194,0.98,0.378158,0.00569694,0.375753,0.712118,0.28917,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
215,0.990193,0.98,0.379138,0.00571204,0.376674,0.714005,0.288238,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
220,0.990193,0.98,0.380119,0.00572713,0.377603,0.715891,0.287297,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
225,0.990192,0.98,0.381101,0.00574222,0.37854,0.717778,0.286347,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
230,0.990192,0.98,0.382082,0.00575732,0.379488,0.719665,0.285387,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
235,0.9902,0.98,0.383064,0.00577241,0.380459,0.721551,0.284418,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
240,0.990193,0.98,0.384047,0.0057875,0.381409,0.723438,0.283441,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
245,0.990192,0.98,0.38503,0.0058026,0.38238,0.725325,0.282456,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
250,0.990192,0.98,0.386013,0.00581769,0.383359,0.727211,0.281463,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
255,0.990193,0.98,0.386996,0.00583278,0.384344,0.729098,0.280464,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
260,0.990193,0.98,0.387979,0.00584788,0.385333,0.730985,0.27946,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
265,0.990192,0.98,0.388963,0.00586297,0.386327,0.732871,0.27845,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
270,0.990206,0.98,0.389947,0.00587806,0.387353,0.734758,0.277435,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
275,0.990193,0.98,0.390931,0.00589316,0.388332,0.736645,0.276415,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
280,0.990193,0.98,0.391916,0.00590825,0.389338,0.738531,0.275392,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
285,0.990192,0.98,0.3929,0.00592334,0.390349,0.740418,0.274364,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
290,0.990192,0.98,0.393885,0.00593844,0.391362,0.742305,0.273333,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
295,0.990192,0.98,0.394869,0.00595353,0.39238,0.744191,0.272299,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
300,0.990192,0.98,0.395854,0.00596862,0.3934,0.746078,0.271262,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
305,0.990193,0.98,0.396839,0.00598372,0.394425,0.747965,0.270222,0,0,0,0,0,0,0,27.0411,33.2706,33.3333
310,0.848844,0.787162,0.322755,0.00506474,0.328861,0.749581,0.271284,57,0,57,0,57,0,0,27.0411,33.2706,33.3333
