[HISTORICAL]
# timestamp,action,qiDelta,srDelta,reward
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0,0,0
235,0,0,0,0
240,0,0,0,0
245,0,0,0,0
250,0,0,0,0
255,0,0,0,0
260,0,0,0,0
265,0,0,0,0
270,0,0,0,0
275,0,0,0,0
280,0,0,0,0
285,0,0,0,0
290,0,0,0,0
295,0,0,0,0
300,0,0,0,0
305,0,0,0,0
310,0,0.131208,0.263964,0.303326
315,0,-0.00391892,-0.0130631,-0.0142387
320,0,-0.00391892,-0.0130631,-0.0142387
325,0,-0.00391892,-0.0130631,-0.0142387
330,0,-0.00391892,-0.0130631,-0.0142387
335,0,-0.00391892,-0.0130631,-0.0142387
340,0,-0.00391892,-0.0130631,-0.0142387
345,0,-0.00391892,-0.0130631,-0.0142387
350,0,-0.00391892,-0.0130631,-0.0142387
355,0,-0.00391892,-0.0130631,-0.0142387
360,0,-0.00391892,-0.0130631,-0.0142387
365,0,-0.00391892,-0.0130631,-0.0142387
370,0,-0.00391892,-0.0130631,-0.0142387
375,0,-0.00391892,-0.0130631,-0.0142387
380,0,-0.00391892,-0.0130631,-0.0142387
385,0,-0.00391892,-0.0130631,-0.0142387
390,0,-0.00391892,-0.0130631,-0.0142387
395,0,-0.00391892,-0.0130631,-0.0142387
400,0,-0.00391892,-0.0130631,-0.0142387
405,0,-0.00391892,-0.0130631,-0.0142387
410,0,-0.00391892,-0.0130631,-0.0142387
415,0,-0.00391892,-0.0130631,-0.0142387
420,0,-0.00391892,-0.0130631,-0.0142387
425,0,-0.00391892,-0.0130631,-0.0142387
430,0,-0.00391892,-0.0130631,-0.0142387
435,0,-0.00391892,-0.0130631,-0.0142387
440,0,-0.00391892,-0.0130631,-0.0142387
445,0,-0.00391892,-0.0130631,-0.0142387
450,0,-0.00391892,-0.0130631,-0.0142387
455,0,-0.00391892,-0.0130631,-0.0142387
460,0,0.149079,0.312648,0.357372
465,0,-0.00791781,-0.0263927,-0.028768
470,0,-0.00791781,-0.0263927,-0.028768
475,0,-0.00791781,-0.0263927,-0.028768
480,0,-0.00791781,-0.0263927,-0.028768
485,0,-0.00791781,-0.0263927,-0.028768
490,0,-0.00791781,-0.0263927,-0.028768
495,0,-0.00791781,-0.0263927,-0.028768
500,0,-0.00791781,-0.0263927,-0.028768
505,0,-0.00791781,-0.0263927,-0.028768
510,0,-0.00791781,-0.0263927,-0.028768
515,0,-0.00791781,-0.0263927,-0.028768
520,0,-0.00791781,-0.0263927,-0.028768
525,0,-0.00791781,-0.0263927,-0.028768
530,0,-0.00791781,-0.0263927,-0.028768
535,0,-0.00791781,-0.0263927,-0.028768
540,0,-0.00791781,-0.0263927,-0.028768
545,0,-0.00791781,-0.0263927,-0.028768
550,0,-0.00791781,-0.0263927,-0.028768
555,0,-0.00791781,-0.0263927,-0.028768
560,0,-0.00791781,-0.0263927,-0.028768
565,0,-0.00791781,-0.0263927,-0.028768
570,0,-0.00791781,-0.0263927,-0.028768
575,0,-0.00791781,-0.0263927,-0.028768
580,0,-0.00791781,-0.0263927,-0.028768
585,0,-0.00791781,-0.0263927,-0.028768
590,0,-0.00791781,-0.0263927,-0.028768
595,0,-0.00791781,-0.0263927,-0.028768
600,0,-0.00791781,-0.0263927,-0.028768
605,0,-0.00791781,-0.0263927,-0.028768
610,0,0.098035,0.185167,0.214578
615,0,-0.0108858,-0.036286,-0.0395518
620,0,-0.0108858,-0.036286,-0.0395518
625,0,-0.0108858,-0.036286,-0.0395518
630,0,-0.0108858,-0.036286,-0.0395518
635,0,-0.0108858,-0.036286,-0.0395518
640,0,-0.0108858,-0.036286,-0.0395518
645,0,-0.0108858,-0.036286,-0.0395518
650,0,-0.0108858,-0.036286,-0.0395518
655,0,-0.0108858,-0.036286,-0.0395518
660,0,-0.0108858,-0.036286,-0.0395518
665,0,-0.0108858,-0.036286,-0.0395518
670,0,-0.0108858,-0.036286,-0.0395518
675,0,-0.0108858,-0.036286,-0.0395518
680,0,-0.0108858,-0.036286,-0.0395518
685,0,-0.0108858,-0.036286,-0.0395518
690,0,-0.0108858,-0.036286,-0.0395518
695,0,-0.0108858,-0.036286,-0.0395518
700,0,-0.0108858,-0.036286,-0.0395518
705,0,-0.0108858,-0.036286,-0.0395518
710,0,-0.0108858,-0.036286,-0.0395518
715,0,-0.0108858,-0.036286,-0.0395518
720,0,-0.0108858,-0.036286,-0.0395518
725,0,-0.0108858,-0.036286,-0.0395518
730,0,-0.0108858,-0.036286,-0.0395518
735,0,-0.0108858,-0.036286,-0.0395518
740,0,-0.0108858,-0.036286,-0.0395518
745,0,-0.0108858,-0.036286,-0.0395518
750,0,-0.0108858,-0.036286,-0.0395518
755,0,-0.0108858,-0.036286,-0.0395518
760,0,-0.0108858,-0.036286,-0.0395518
765,0,-0.0108858,-0.036286,-0.0395518
770,0,-0.0108858,-0.036286,-0.0395518
775,0,-0.0108858,-0.036286,-0.0395518
780,0,-0.0108858,-0.036286,-0.0395518
785,0,-0.0108858,-0.036286,-0.0395518
790,0,-0.0108858,-0.036286,-0.0395518
795,0,-0.0108858,-0.036286,-0.0395518
800,0,-0.0108858,-0.036286,-0.0395518
805,0,-0.0108858,-0.036286,-0.0395518
810,0,-0.0108858,-0.036286,-0.0395518
815,0,-0.0108858,-0.036286,-0.0395518
820,0,-0.0108858,-0.036286,-0.0395518
825,0,-0.0108858,-0.036286,-0.0395518
830,0,-0.0108858,-0.036286,-0.0395518
835,0,-0.0108858,-0.036286,-0.0395518
840,0,-0.0108858,-0.036286,-0.0395518
845,0,-0.0108858,-0.036286,-0.0395518
