timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster
170,0.99405,0.99,0.387058,0.00811455,0.232814,0.695533,0.284847,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
175,0.994048,0.99,0.38814,0.00813586,0.235636,0.697359,0.281953,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
180,0.994048,0.99,0.389136,0.00815717,0.237016,0.699186,0.280538,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
185,0.994048,0.99,0.390106,0.00817848,0.237964,0.701013,0.279569,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
190,0.994048,0.99,0.391067,0.00819979,0.238761,0.702839,0.278755,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
195,0.994047,0.99,0.392024,0.0082211,0.239503,0.704666,0.277998,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
200,0.994048,0.99,0.392981,0.00824241,0.240228,0.706493,0.277261,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
205,0.994065,0.99,0.393937,0.00826372,0.240969,0.708319,0.276528,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
210,0.994049,0.99,0.394893,0.00828503,0.241673,0.710146,0.275793,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
215,0.994048,0.99,0.395849,0.00830635,0.242399,0.711973,0.275054,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
220,0.994049,0.99,0.396806,0.00832766,0.243131,0.713799,0.274311,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
225,0.994049,0.99,0.397763,0.00834897,0.243864,0.715626,0.273565,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
230,0.994048,0.99,0.39872,0.00837028,0.2446,0.717453,0.272818,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
235,0.993362,0.99,0.399677,0.00839159,0.244506,0.719279,0.272071,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
240,0.994048,0.99,0.400634,0.0084129,0.246071,0.721106,0.271323,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
245,0.994049,0.99,0.40159,0.00843421,0.246807,0.722933,0.270578,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
250,0.994049,0.99,0.402547,0.00845552,0.247539,0.724759,0.269834,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
255,0.994049,0.99,0.403504,0.00847683,0.248269,0.726586,0.269093,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
260,0.994049,0.99,0.40446,0.00849815,0.248997,0.728413,0.268355,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
265,0.994048,0.99,0.405416,0.00851946,0.24972,0.730239,0.26762,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
270,0.994061,0.99,0.406372,0.00854077,0.250458,0.732066,0.266888,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
275,0.994048,0.99,0.407328,0.00856208,0.25116,0.733893,0.266159,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
280,0.994048,0.99,0.408284,0.00858339,0.251875,0.735719,0.265433,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
285,0.994049,0.99,0.409239,0.0086047,0.252589,0.737546,0.264709,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
290,0.994049,0.99,0.410195,0.00862601,0.253299,0.739373,0.263989,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
295,0.994048,0.99,0.41115,0.00864732,0.254005,0.741199,0.263271,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
300,0.994048,0.99,0.412105,0.00866863,0.25471,0.743026,0.262556,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
305,0.99405,0.99,0.41306,0.00868995,0.255415,0.744853,0.261842,0,0,0,0,0,0,0,17.6339,31.8237,33.3333
310,0.781641,0.472973,0.217912,0.00781017,0.195026,0.745745,0.261184,153,0,153,0,153,0,0,17.6339,31.8237,33.3333
